replaceable;replacement;function;description
\bперспектив\w+;;regex_sub;
\bплощадь\b;;replace;
\bпроявление\b;;replace;
\bучасток\b;;replace;
\bпрогнозная\b;;replace;
\bрудное поле\b;;replace;
\bпотенциал\w+\b;;regex_sub;потенциал
\bузел\b;;replace;
\bрайон\b;;replace;
\bроссыпь\b;;replace;
\bоз[её]р[оа]\b;;regex_sub;озеро
\bшахт[аы]\b;;regex_sub;шахта
\bразрез\b;;regex_sub;разрез
\bпол[ея]\b;;regex_sub;поле
\bуч-к\b|\bуч-ток\b|\bу-ток\b|\bучасток\b;;regex_sub;участок
\bместорождени[еяю]\b|\bм-е;;regex_sub;месторождение
\bруч\b|\bручей\b;;regex_sub;ручей
\bпроявление\b;;replace;проявление
\bлог\b;;regex_sub;лог
\bстроительный песок\b;;;
\bстроительный камень\b;;;
"(\d+)
"; \g<1> ;regex_sub;
([A-z]+); \g<1> ;regex_sub;
(\w+\.);;regex_sub;
\bполиметаллический\b;;regex_sub;
\bруда\b;;regex_sub;
\bмедно-свинцово-цинковых\b;;;
\bизвестняки\b;;;
\bустье\b;;;
